audio,text
/content/asr_bengali/data/07/0726c26114.wav,কি নারীপুরুষ প্রেম করেনি
/content/asr_bengali/data/07/07277f373f.wav,প্রত্যক্ষদর্শীদের বিবরণ
/content/asr_bengali/data/07/0727c31a25.wav,কেন্দ্র করেও
/content/asr_bengali/data/07/07297ff2c4.wav,উথালপাথাল জোছনা
/content/asr_bengali/data/07/0729818395.wav,কংগ্রেসের শীর্ষ নেতৃত্বে
/content/asr_bengali/data/07/072b61ae7f.wav,যোগ্যতা প্রমাণে চট্টগ্রামে
/content/asr_bengali/data/07/072b82241b.wav,কেন বাতিল করা হবে না
/content/asr_bengali/data/07/072bc19233.wav,অপেক্ষার প্রহর শেষ হবে
/content/asr_bengali/data/07/072c83d632.wav,তামিল মহাতারকার অভিনন্দন
/content/asr_bengali/data/07/072d3ba3be.wav,কম্পিউটার সিরিজ
/content/asr_bengali/data/07/072d75b221.wav,পলাতক এলানের বিরুদ্ধে
/content/asr_bengali/data/07/072e8316f5.wav,তিনি ক্যাম্পের গোল ঘরে
/content/asr_bengali/data/07/072f9bb48f.wav,অফিস সুটের সর্বশেষ ভার্সনটি
/content/asr_bengali/data/07/073039e994.wav,বিনিয়োগে নেমেছে ধস
/content/asr_bengali/data/07/07308e2fb0.wav,মিলান সমর্থকরা
/content/asr_bengali/data/07/0730b063ee.wav,প্রতীক হল
/content/asr_bengali/data/07/0730bf3969.wav,বাড়ির ছেলেরা
/content/asr_bengali/data/07/073161b9fe.wav,ছুরি নিয়ে এসেছিলেন
/content/asr_bengali/data/07/073266eda9.wav,সেলেনা গোমেজ
/content/asr_bengali/data/07/073271a0af.wav,আবদুস সালাম জানান
/content/asr_bengali/data/07/0732c68fbc.wav,এটা ঠিক আছে
/content/asr_bengali/data/07/073303276b.wav,কাজের ছেলে
/content/asr_bengali/data/07/073598e69d.wav,১০ গোলে পরাজিত করে
/content/asr_bengali/data/07/073645e764.wav,চাঁদপুরে নিজের বাড়িতে
/content/asr_bengali/data/07/073832497c.wav,অস্ট্রেলিয়ার সাবেক পেসার
/content/asr_bengali/data/07/07395da26c.wav,ও ভিডিও ফুটেজ দেখে
/content/asr_bengali/data/07/0739c6c9d4.wav,জমি বন্ধক বিক্রি
/content/asr_bengali/data/07/073a09c5ef.wav,আইরিশ ভাষা
/content/asr_bengali/data/07/073acdda94.wav,আগুন লাগে
/content/asr_bengali/data/07/073b086376.wav,যারপরনাই হতাশ
/content/asr_bengali/data/07/073c4d3b4d.wav,মাথায় বালিশ পড়তে
/content/asr_bengali/data/07/073cfb7e49.wav,উদ্দেশ্য করে
/content/asr_bengali/data/07/073d461aa3.wav,এবং কতদিন পর্যন্ত যায়
/content/asr_bengali/data/07/073db460b9.wav,রতন ভাঙাড়ির কাজ করেন
/content/asr_bengali/data/07/073e75dcfb.wav,মুখ বেঁধে
/content/asr_bengali/data/07/07403c1fc1.wav,সুরমা পাড়েও বাজানো হবে
/content/asr_bengali/data/07/07414ac071.wav,ম্যানচেস্টার সিটির জালে
/content/asr_bengali/data/07/074185a312.wav,পূর্ণ প্রতিযোগিতা বাজার
/content/asr_bengali/data/07/0741ed8e2e.wav,দুর্যোগ মোকাবেলা
/content/asr_bengali/data/07/0741f2fded.wav,কি নিবৃত্তি নাই
/content/asr_bengali/data/07/07420a494b.wav,৫০ কোটি টাকা
/content/asr_bengali/data/07/074234f124.wav,একবার বাদশাহর
/content/asr_bengali/data/07/0742618ef5.wav,কিন্তু জালিয়াত চক্র
/content/asr_bengali/data/07/0742aa7952.wav,সহজ হস্তরেখা বিচার
/content/asr_bengali/data/07/074320c7d6.wav,সামিল হয়েছে
/content/asr_bengali/data/07/07435f4c93.wav,তারা নিজেদের ভাষা সংস্কৃতিকে
/content/asr_bengali/data/07/07436c0be1.wav,সাগর সেচিলাম
/content/asr_bengali/data/07/074380b831.wav,তাকে আটক দেখানো হয়
/content/asr_bengali/data/07/0744473c9c.wav,বিশ্বে তা নিয়ে ছিল
/content/asr_bengali/data/07/0744608c7c.wav,মিল্কির অত্যন্ত
/content/asr_bengali/data/07/0745edc959.wav,মহেশপুর এলাকার
/content/asr_bengali/data/07/0747e6d991.wav,প্রবর্তিত হয়
/content/asr_bengali/data/07/0747ed33db.wav,এরপর রায়ের সংক্ষিপ্তসার
/content/asr_bengali/data/07/074830dd21.wav,তিনি পাপ ও দুঃখের অতীত
/content/asr_bengali/data/07/074906cc94.wav,এর কিছুদিন পরই তারা
/content/asr_bengali/data/07/07494c1dea.wav,আক্রমণ করতে গেলে
/content/asr_bengali/data/07/0749ef0ccf.wav,চলিয়া গেলেন
/content/asr_bengali/data/07/074a195e36.wav,পরিদের সঙ্গে থাকে
/content/asr_bengali/data/07/074a7b8c7b.wav,নিরাপদ কোথাও সরে যাওয়া
/content/asr_bengali/data/07/074b9fd17b.wav,অল্প দিনের মধ্যে
/content/asr_bengali/data/07/074be1be02.wav,বিশিষ্ট সুরকার
/content/asr_bengali/data/07/074d0052ff.wav,রোগীদের অবস্থা
/content/asr_bengali/data/07/074e1bee38.wav,ভারতের এতোখানি
/content/asr_bengali/data/07/074f1bb303.wav,আদিবাসী শব্দটির
/content/asr_bengali/data/07/0750033e3e.wav,সবচেয়ে দরিদ্র এলাকাগুলোর একটি
/content/asr_bengali/data/07/075008c656.wav,মরগ্যান ফ্রিম্যানের সাথে
/content/asr_bengali/data/07/0750697c15.wav,মানুষের জন্য
/content/asr_bengali/data/07/0750b7a112.wav,ভ্রাম্যমাণ দোকানপাট
/content/asr_bengali/data/07/07549b5e45.wav,জেলার ২০ লাখ মানুষ
/content/asr_bengali/data/07/0756c3d1e0.wav,মরিয়া এক তরুণের মতো কিনছিলাম
/content/asr_bengali/data/07/07570adf51.wav,ঘুমায় কবরে
/content/asr_bengali/data/07/07582a3028.wav,মহাবিশ্ব
/content/asr_bengali/data/07/07593fd512.wav,মাত্র একদিন একরাতের মধ্যে
/content/asr_bengali/data/07/075a2bffd4.wav,অষ্টলক্ষ্মী সম্পদ
/content/asr_bengali/data/07/075a697ef7.wav,শিশু শ্রমিক রয়েছে দেশটিতে
/content/asr_bengali/data/07/075bc447e4.wav,তিনি ভারতের
/content/asr_bengali/data/07/075c9fed70.wav,ভোল্টেজ উৎপন্ন করা হয়
/content/asr_bengali/data/07/075cb701a5.wav,সুন্দর পৃথিবী
/content/asr_bengali/data/07/075dc6682d.wav,সবজি চাষ
/content/asr_bengali/data/07/07608728c6.wav,তিনি যদি বরিশাল থেকে হেঁটে
/content/asr_bengali/data/07/0760b33431.wav,আক্রমণ ও পাল্টা আক্রমণে
/content/asr_bengali/data/07/07611beb8d.wav,ভয় ছিল না
/content/asr_bengali/data/07/07614bb1bf.wav,ঐশীর বন্ধু মিজানুর রহমান রনিকে
/content/asr_bengali/data/07/07627e6e96.wav,আর কোথাও দেখিনি
/content/asr_bengali/data/07/0763a091ba.wav,স্থানীয় পুলিশের কর্মকর্তারা
/content/asr_bengali/data/07/0763f617f2.wav,বাংলাদেশ টেলিভিশন থাকার ফলে
/content/asr_bengali/data/07/0764c77329.wav,পাড়ার ছেলেপিলেরা
/content/asr_bengali/data/07/0764f63ce5.wav,হাটা
/content/asr_bengali/data/07/076563dda9.wav,জাস্ট এক দিনের
/content/asr_bengali/data/07/0766496bb6.wav,বাপের পক্ষে মেয়ের সঙ্গে
/content/asr_bengali/data/07/0768827ae5.wav,তিনি সেখানে দাঁড়ালেন
/content/asr_bengali/data/07/076a653973.wav,গ্রামের এক কোনে
/content/asr_bengali/data/07/076af0c0b0.wav,এ সম্পর্কে
/content/asr_bengali/data/07/076c925aa0.wav,ক্রেতার সঙ্গে আমার কথা হয়েছিল
/content/asr_bengali/data/07/076cb83f49.wav,প্রথম ও দ্বিতীয় পক্ষের
/content/asr_bengali/data/07/076db9e74d.wav,খেলা রিবেরির
/content/asr_bengali/data/07/076e5cdb3b.wav,কিন্তু সেই সঙ্গেই বলেছেন
/content/asr_bengali/data/07/076eae2ad7.wav,ওই হাসু
/content/asr_bengali/data/07/076ec7c352.wav,লেখকেরা পরিবেশন করেছেন
/content/asr_bengali/data/07/076f028c57.wav,পুলিশ বললেও তা আদালতে
/content/asr_bengali/data/07/076f417107.wav,পাঠাতে বলেন
/content/asr_bengali/data/07/07702c4052.wav,বিষ্ণু দের লিখিত পর্যবেক্ষণের
/content/asr_bengali/data/07/077144582e.wav,তাদের অপেক্ষা করতে হবে
/content/asr_bengali/data/07/077179441e.wav,জানতে আগ্রহী
/content/asr_bengali/data/07/0772cc6e7c.wav,আকাশের দিকেই ছুঁড়তে থাকে
/content/asr_bengali/data/07/07738a801d.wav,চাঁদনী রাতের ভালোবাসার ফটো
/content/asr_bengali/data/07/0773cd304e.wav,হাঁসমুরগি
/content/asr_bengali/data/07/077400d3fa.wav,আফ্রিকার জঙ্গল
/content/asr_bengali/data/07/07744c2b29.wav,এই বিশ্ব রেকর্ডটি হয়েছিল
/content/asr_bengali/data/07/077480f16d.wav,পোস্ট অফিস
/content/asr_bengali/data/07/077561f961.wav,যখন পাথরও চৌচির
/content/asr_bengali/data/07/0776364638.wav,গণমাধ্যমে আর
/content/asr_bengali/data/07/0776f8a86e.wav,এছাড়া টিশার্ট আতর
/content/asr_bengali/data/07/077709550e.wav,কেবল আ খাতুন
/content/asr_bengali/data/07/0777c457a4.wav,শাহাবুদ্দিন তার জবানবন্দিতে
/content/asr_bengali/data/07/0778248898.wav,যুদ্ধে অগ্রসর হইলেন
/content/asr_bengali/data/07/077aa959f8.wav,ব্যাংকটি বিতরণ করেছে
/content/asr_bengali/data/07/077ac07b6d.wav,আলোকচিত্রীকে এই পুরস্কার দেয়
/content/asr_bengali/data/07/077bbaa26d.wav,শ্রমিক না থাকায়
/content/asr_bengali/data/07/077c6b4afe.wav,সাত্ক্ষীরায় পুলিশের সঙ্গে
/content/asr_bengali/data/07/077e5b3ce0.wav,মা উত্তরের বারান্দা থেকে
/content/asr_bengali/data/07/077f1ca5fa.wav,ভালভাবে না পাওয়ার কারণে
/content/asr_bengali/data/07/077f2ff53b.wav,আমাদের আন্দোলন
/content/asr_bengali/data/07/0780531d5e.wav,তাঁর মৃত্যু
/content/asr_bengali/data/07/078076f937.wav,অ্যাক্টিনিয়াম আবিস্কারের
/content/asr_bengali/data/07/0781d86028.wav,কাল কাল
/content/asr_bengali/data/07/07835bd1f0.wav,লোকে যেমন হড়কে নামে
/content/asr_bengali/data/07/0785c6054a.wav,গ্রামের এ ঐতিহ্যকে
/content/asr_bengali/data/07/0787627e22.wav,সেটা নিয়েই
/content/asr_bengali/data/07/0787f9f1c9.wav,শোলের অভাবনীয় সাফল্যর পর
/content/asr_bengali/data/07/07885e82a3.wav,কোষের থেকে
/content/asr_bengali/data/07/07890b025b.wav,তাঁর জীবনের একটি বড় অভিশাপ
/content/asr_bengali/data/07/078978b848.wav,নিজের লেখা বাল্মীকিপ্রতিভা
/content/asr_bengali/data/07/0789b15055.wav,তবে সমস্যাগুলো
/content/asr_bengali/data/07/0789cf5446.wav,আমানত সংগ্রহ করে
/content/asr_bengali/data/07/078a97714d.wav,তবে সিরিয়া সরকার
/content/asr_bengali/data/07/078b0e9b4a.wav,আওয়াজেরও বড় দুরবস্থা
/content/asr_bengali/data/07/078b51f594.wav,কয়েকটি খুন হলে
/content/asr_bengali/data/07/078c9a4e12.wav,চরম উত্তেজনা বিরাজ করছে
/content/asr_bengali/data/07/078d411e94.wav,তবে তারা সুচিত্রার মতো
/content/asr_bengali/data/07/078ea5f618.wav,মায়াপুর
/content/asr_bengali/data/07/078ec11b74.wav,তিনি কি সত্য
