audio,text
/content/asr_bengali/data/05/053d4cef95.wav,ফুটবল বিশ্বকাপের মধ্যে
/content/asr_bengali/data/05/053df6766d.wav,ভর্তি হন অজিত রায়
/content/asr_bengali/data/05/053f5831b7.wav,ভাষণ দেন
/content/asr_bengali/data/05/053fc4585c.wav,স্বাগত জানিয়ে তিনি বলেছেন
/content/asr_bengali/data/05/054082c71e.wav,মন্ত্রী জানান
/content/asr_bengali/data/05/0540d2d57a.wav,বিভিন্ন উৎসেচকের
/content/asr_bengali/data/05/05413b16b0.wav,অবস্থানরত করতে না পারে
/content/asr_bengali/data/05/0541a92d12.wav,অবমুক্ত করার মাধ্যমে
/content/asr_bengali/data/05/054315f2ba.wav,অজ্ঞ অশিক্ষিত লোকেরা
/content/asr_bengali/data/05/0543fea508.wav,রেস্তোরাতে গিয়ে
/content/asr_bengali/data/05/0545802269.wav,পরিষ্কার করার কাজ
/content/asr_bengali/data/05/0545c801db.wav,এই মাস আলাদা মর্যাদা
/content/asr_bengali/data/05/05486de93a.wav,তিন সন্তানের এই জননী
/content/asr_bengali/data/05/054bc4497a.wav,পিছিয়ে দেয়া যায়
/content/asr_bengali/data/05/054c683186.wav,তুলনায় আর্দ্রতা
/content/asr_bengali/data/05/054d6b8804.wav,বাড়িটায় যেন
/content/asr_bengali/data/05/054db2b4ac.wav,যদিও এ ধরনের ঘটনা
/content/asr_bengali/data/05/054e279926.wav,গণমাধ্যমের গাড়িতেও
/content/asr_bengali/data/05/054e8cbc5c.wav,কতকগুলি ছোট ছোট ছেলে আসিয়া
/content/asr_bengali/data/05/054f400909.wav,এ হামলায়
/content/asr_bengali/data/05/0550ae5ff0.wav,এক সিপাই জিগায়
/content/asr_bengali/data/05/05515f0bef.wav,শুধু রাজার চাকরী ছাড়া
/content/asr_bengali/data/05/05516c9693.wav,আমি যে লক্ষ্মী মেয়ে
/content/asr_bengali/data/05/0551eb4009.wav,রাজপুত্র নাড়িয়া চাড়িয়া
/content/asr_bengali/data/05/0551f0a67e.wav,অপরের বিরুদ্ধে নানা অভিযোগ আনে
/content/asr_bengali/data/05/05531db160.wav,পাঁচটি পর্যায়ে বিভক্ত
/content/asr_bengali/data/05/05539532af.wav,যতই বুজুর্গ হন
/content/asr_bengali/data/05/0553ed71ed.wav,তবে কাজালের মা মানাল জানান
/content/asr_bengali/data/05/05542b7b24.wav,বাংলা নববর্ষ গণনা শুরু করেন
/content/asr_bengali/data/05/05552fdf16.wav,রাত তিনটার দিকে
/content/asr_bengali/data/05/0555bb6a71.wav,বিধবা
/content/asr_bengali/data/05/05571db52a.wav,ফেব্রুয়ারির ভোট সমীক্ষায়
/content/asr_bengali/data/05/0557a40ae8.wav,সরকার আর আলোচনাসমঝোতায়
/content/asr_bengali/data/05/0557a4d323.wav,আগে মাছ ধুয়ে
/content/asr_bengali/data/05/0559d91edf.wav,পার্বত্য চট্টগ্রাম থেকে
/content/asr_bengali/data/05/055b1129c4.wav,স্পীকারও টিআইবির বিরুদ্ধে
/content/asr_bengali/data/05/055b303d50.wav,এমনকি কেউ যদি
/content/asr_bengali/data/05/055b4d9dea.wav,সরকারি ছুটির তালিকা
/content/asr_bengali/data/05/055d9fde89.wav,নিতে হবে আজ
/content/asr_bengali/data/05/055e24876c.wav,আর্কাইভস যে কোনো
/content/asr_bengali/data/05/055ed3e5ff.wav,লাফিয়ে উঠেছিল বিজয়
/content/asr_bengali/data/05/0560e0af15.wav,ছয় মাসের বেশি হবে না
/content/asr_bengali/data/05/0561a6993a.wav,এলবিডব্লিউ হয়ে
/content/asr_bengali/data/05/05637e87d6.wav,ষোলো বছর যখন বয়স
/content/asr_bengali/data/05/0563dc535c.wav,চাঁদের পাহাড় সিনেমা
/content/asr_bengali/data/05/056528222c.wav,ধ্বংসাবশেষ বলেই ধারণা করা হয়
/content/asr_bengali/data/05/05662a9f85.wav,ইহা বলা যাইতে পারে যে
/content/asr_bengali/data/05/0567cf04d5.wav,স্পেনের অ্যাটলেটিকো মাদ্রিদ
/content/asr_bengali/data/05/056868492b.wav,কচুরিপানার শুকনো বৃন্ত দিয়ে
/content/asr_bengali/data/05/056a4aa3ad.wav,জেনারেটর চললেই
/content/asr_bengali/data/05/056bc73eb7.wav,সাতটা দিন
/content/asr_bengali/data/05/056d4da0f0.wav,উত্তর পেলাম
/content/asr_bengali/data/05/0572258eb5.wav,মা সনাতনকে
/content/asr_bengali/data/05/057282b571.wav,সবচেয়ে আকর্ষণীয় ও বিস্ময়কর
/content/asr_bengali/data/05/0572b196b1.wav,অনেক গুরুত্বপূর্ণ আলামত
/content/asr_bengali/data/05/0572c41b73.wav,প্রথম মৃত্যুর পর
/content/asr_bengali/data/05/0572e2b620.wav,সমষ্টি আড়ালে পড়ে যায়
/content/asr_bengali/data/05/057433e521.wav,যৌথ শ্রমের সমাজ
/content/asr_bengali/data/05/057457c865.wav,লুইস সুয়ারেজকে
/content/asr_bengali/data/05/05745d5e23.wav,ফিলিস্তিনে ব্যাপক
/content/asr_bengali/data/05/05750040ab.wav,সুকান্তের মৃত্যুর অব্যবহিত পরে
/content/asr_bengali/data/05/057573229b.wav,বসে রইল
/content/asr_bengali/data/05/0575b903a0.wav,এগুলো যারা করছে
/content/asr_bengali/data/05/0576e601d8.wav,একটি চিরস্থায়ী দাগ কেটেছে
/content/asr_bengali/data/05/05773ee950.wav,বিজ্ঞানের এই আবিষ্কার নিয়ে
/content/asr_bengali/data/05/0579292161.wav,অস্ট্রেলিয়াতে
/content/asr_bengali/data/05/057acc9fed.wav,অবাক বিস্ময়ে তাকিয়ে দেখছে
/content/asr_bengali/data/05/057adec193.wav,এবং বিশ্ববাসীকে
/content/asr_bengali/data/05/057cc4f09d.wav,১৮ জন অগ্নিদগ্ধ হন
/content/asr_bengali/data/05/057e96852c.wav,এর কেন্দ্র ছিল জয়দেবপুর
/content/asr_bengali/data/05/057ec44406.wav,এর আগেও তারা
/content/asr_bengali/data/05/057ee47ed6.wav,তবে আমি মনে করি
/content/asr_bengali/data/05/05847d332f.wav,এশিয়া
/content/asr_bengali/data/05/05848c1665.wav,তার ঠিক বিপরীত অবস্থা
/content/asr_bengali/data/05/058512d1c9.wav,পেঁয়াজ আলু
/content/asr_bengali/data/05/0585c6148f.wav,বারিধারায় থাকেন লিরা
/content/asr_bengali/data/05/05885c539c.wav,ওর ওপরের বোল্ডারের মাথাটা
/content/asr_bengali/data/05/0588bec2f1.wav,ঢাকার একেবারে কেন্দ্রস্থলে
/content/asr_bengali/data/05/0589145c2b.wav,আন্তর্জাতিক বেস্টসেলার বই
/content/asr_bengali/data/05/05895391e2.wav,শেকড়সন্ধানী
/content/asr_bengali/data/05/058a0299fd.wav,উদরস্থিত বায়ু
/content/asr_bengali/data/05/058a3a50fe.wav,যাহা এই তালিকার ভিতর নাই
/content/asr_bengali/data/05/058a65a3a0.wav,নির্বাচনী ইস্যুগুলো নিয়ে
/content/asr_bengali/data/05/058bcbb582.wav,ইউরোপীয়রা সর্বপ্রথম আসে
/content/asr_bengali/data/05/058dbebc79.wav,ডিসিসি আইনে কোনো আমলা
/content/asr_bengali/data/05/058e1a1602.wav,আর রক্ষা নেই
/content/asr_bengali/data/05/058e64268f.wav,বিয়ে করার
/content/asr_bengali/data/05/058e77cbf3.wav,সুগন্ধি প্রদায়ক উদ্ভিদ
/content/asr_bengali/data/05/058e9a09cd.wav,মার মুখে মিষ্টি হাসি
/content/asr_bengali/data/05/058f17fc54.wav,দেয়ালে ঠেস দিয়ে
/content/asr_bengali/data/05/058f1ee391.wav,খটাং খটাং করে নামছিলেন
/content/asr_bengali/data/05/058fae41bc.wav,গ্রেফতার করে
/content/asr_bengali/data/05/0593cf5d54.wav,বাবা থেকেও নেই
/content/asr_bengali/data/05/0593db65a3.wav,জনগণের আস্থা নেই
/content/asr_bengali/data/05/0594606837.wav,অগ্ন্যাশয়িক পলিপেপটাইড
/content/asr_bengali/data/05/0594be4097.wav,কিন্তু মো আবদুল জব্বারের দাবী
/content/asr_bengali/data/05/0595c3569e.wav,দার্জিলিং গোর্খা
/content/asr_bengali/data/05/0595ed0fff.wav,আয়োজনে বিস্তারিত তথ্য জানতে
/content/asr_bengali/data/05/0596a8ddc4.wav,রেল কোম্পানী থেকে
/content/asr_bengali/data/05/059717e976.wav,মুক্তচিন্তার মনের মানুষ
/content/asr_bengali/data/05/059744c549.wav,করা যাবে না
/content/asr_bengali/data/05/0598221246.wav,ফাহাদ কম্পিউটার
/content/asr_bengali/data/05/05995d3511.wav,অভিনেত্রী মুনমুন সেন
/content/asr_bengali/data/05/059a5095ce.wav,মেরিন ইঞ্জিনিয়ারিং
/content/asr_bengali/data/05/059c5ba805.wav,ধরিয়ে দিয়ে বললেন
/content/asr_bengali/data/05/059cf2fdc0.wav,মামলা করতে গেলে
/content/asr_bengali/data/05/059e7d203a.wav,মুর্শিদাবাদ এবং মালদহ জেলার
/content/asr_bengali/data/05/059e9c4e91.wav,গ্রামটি ছেড়ে
/content/asr_bengali/data/05/059f76a45a.wav,অন্য অভিযোগ রয়েছে
/content/asr_bengali/data/05/059fecaebd.wav,মূল প্রতিদ্বন্দ্বিতা হবে
/content/asr_bengali/data/05/05a001fe5b.wav,যুদ্ধে বিজয়ী হয়ে
/content/asr_bengali/data/05/05a00791ed.wav,নিয়মিত নজর রাখেন
/content/asr_bengali/data/05/05a086e837.wav,শপথ গ্রহণের পর
/content/asr_bengali/data/05/05a1120e60.wav,প্রায়শই মিডিয়াতে
/content/asr_bengali/data/05/05a167543b.wav,আমার সাথে
/content/asr_bengali/data/05/05a21f46a8.wav,স্ত্রীর সাথে আলোচনা করে
/content/asr_bengali/data/05/05a2295db2.wav,অক্সফোর্ড ইউনিভার্সিটি প্রেস
/content/asr_bengali/data/05/05a3348cad.wav,জাতিসংঘের শরণার্থী সংস্থা বলছে
/content/asr_bengali/data/05/05a50684f4.wav,তার ভ্রমণ বৃত্তান্ত ছাপবার
/content/asr_bengali/data/05/05a554c8ec.wav,দেবতার ছবি
/content/asr_bengali/data/05/05a5acf0ba.wav,দেয়ালটি ১০১২ গজ
/content/asr_bengali/data/05/05a64816b2.wav,শুরুর দিকের ঘটনা
/content/asr_bengali/data/05/05a6fd0943.wav,টার্গেটের মধ্যে পাচ্ছে
/content/asr_bengali/data/05/05a7069553.wav,এর সাফল্যের উপর
/content/asr_bengali/data/05/05a852bbd9.wav,তৃতীয় স্থান অধিকার করেছে
/content/asr_bengali/data/05/05a9f1f539.wav,যুদ্ধ শেষ হয়নি
/content/asr_bengali/data/05/05a9fec6d0.wav,ব্যবহারের সুযোগ পেলেও
/content/asr_bengali/data/05/05ac478f4d.wav,জাপানি ভাষা শিক্ষা
/content/asr_bengali/data/05/05ad5f6f2d.wav,তার সাফল্যের বছর
/content/asr_bengali/data/05/05ae500680.wav,তাদের পক্ষে যথেষ্ট
/content/asr_bengali/data/05/05ae91d9ed.wav,লংগদক প্রোভঁসাল
/content/asr_bengali/data/05/05af0f38f5.wav,সকল সুযোগ সুবিধা
/content/asr_bengali/data/05/05b07f3e91.wav,শরিয়া প্রতিষ্ঠা করতে হবে
/content/asr_bengali/data/05/05b093d5ba.wav,সাজঘরে ফেরেন
/content/asr_bengali/data/05/05b0c87a32.wav,১৮৯০ সালে
/content/asr_bengali/data/05/05b0ead561.wav,রায়ের বিষয়ে
/content/asr_bengali/data/05/05b0f00028.wav,একটা জনস্বাস্থ্য
/content/asr_bengali/data/05/05b27cb9f2.wav,লুকিয়ে রাখে
/content/asr_bengali/data/05/05b2c22052.wav,সেই একখানি কাব্যে
/content/asr_bengali/data/05/05b39cd662.wav,নিয়ম ভাঙাটাই আপনার নিয়ম ছিল
/content/asr_bengali/data/05/05b3d0f7d5.wav,তুমি কেবল
/content/asr_bengali/data/05/05b4accaef.wav,মায়ের গর্ভে ভ্রুণ এলে
/content/asr_bengali/data/05/05b6c16bd6.wav,বাংলাদেশ ও পাকিস্তানের
/content/asr_bengali/data/05/05b714711e.wav,কাছে যেতে লোকমান বলে
/content/asr_bengali/data/05/05b8252769.wav,বিজিবিকে নিয়ে এই অভিযানের
/content/asr_bengali/data/05/05b895e939.wav,সেখানে পোশাক শ্রমিকদের
/content/asr_bengali/data/05/05b91cf912.wav,বিভিন্ন শাখায়
/content/asr_bengali/data/05/05bb144e91.wav,তা এখনও জানা যায়নি
/content/asr_bengali/data/05/05befa301a.wav,আমি যেভাবে তোমাকে আদেশ
/content/asr_bengali/data/05/05bfd6366e.wav,খেয়ে না খেয়ে
/content/asr_bengali/data/05/05c1a09308.wav,নিজেদের দায়িত্ব নিতে পারবে
/content/asr_bengali/data/05/05c1a5a097.wav,কমিটি প্রধান
/content/asr_bengali/data/05/05c1af247b.wav,ইরাকের রাজধানী বাগদাদসহ
/content/asr_bengali/data/05/05c282fc42.wav,বাহির করার সঙ্গে
/content/asr_bengali/data/05/05c2e8f013.wav,এরশাদ মোটরসাইকেলে করে
/content/asr_bengali/data/05/05c49359c5.wav,এবার অনলাইনে
/content/asr_bengali/data/05/05c4c436ca.wav,অনেক রান হওয়ার
/content/asr_bengali/data/05/05c4c7683c.wav,নিজের শরীর
/content/asr_bengali/data/05/05c58a9f24.wav,যাতে আলোচক এবং দর্শকদের
/content/asr_bengali/data/05/05c5e4427b.wav,ওই আগুন লেগেছে বলে
/content/asr_bengali/data/05/05c7788846.wav,মর্মবেদনা লক্ষ্য করা যায়
/content/asr_bengali/data/05/05c7af129a.wav,গ্রহণ করেছে
/content/asr_bengali/data/05/05c7d919fe.wav,বোমা হামলায় অন্তত
/content/asr_bengali/data/05/05c8aa7bd9.wav,উভয়ের কাছ থেকে
/content/asr_bengali/data/05/05c97a6f9a.wav,পূর্ণব্রহ্ম নারায়ণই
/content/asr_bengali/data/05/05ca47c812.wav,পাইগোসেলিস গণের
/content/asr_bengali/data/05/05cab25583.wav,নেওয়া যাবে না বলা সত্ত্বেও
/content/asr_bengali/data/05/05cacd6ff5.wav,মিয়ামিতে এক ব্যক্তিকে
/content/asr_bengali/data/05/05cd1c91fa.wav,অনেকেই তাকে
/content/asr_bengali/data/05/05ce6e489b.wav,বিড়বিড় ঘড়ঘড়
/content/asr_bengali/data/05/05cecd8047.wav,এরপর দেশের বিভিন্ন জায়গায়
/content/asr_bengali/data/05/05cf127b7e.wav,পুরুষের পরিচয়
/content/asr_bengali/data/05/05cf22646b.wav,ছয় জনের কাউকেই
/content/asr_bengali/data/05/05cf6c7fec.wav,তাত্ত্বিক ব্যাখ্যার সমর্থন
/content/asr_bengali/data/05/05cf9e50fe.wav,অং সান ১৯৩৩ সালে
/content/asr_bengali/data/05/05d03b5704.wav,যখন বাসুদেব
/content/asr_bengali/data/05/05d222e840.wav,ঘটনাস্থল পরিদর্শন
/content/asr_bengali/data/05/05d2997947.wav,একটি ময়লার স্তূপে
/content/asr_bengali/data/05/05d33bf3dd.wav,সম্পর্ক এড়িয়ে চলাই ভালো
/content/asr_bengali/data/05/05d3e79e7b.wav,একটি চেয়ারে
/content/asr_bengali/data/05/05d3ef8419.wav,চূড়ান্ত সিদ্ধান্তের অপেক্ষায়
/content/asr_bengali/data/05/05d46a89c3.wav,শুধু মুক্তিপণের দাবি আসবে
/content/asr_bengali/data/05/05d4c258eb.wav,ঘর করে থাকে
/content/asr_bengali/data/05/05d500e9d7.wav,কত পরস্পরবিরোধী
/content/asr_bengali/data/05/05d52534ad.wav,পাইকারী চাল ব্যবসায়ীরা
/content/asr_bengali/data/05/05d56dc418.wav,রিজার্ভ কমে গেলেই
/content/asr_bengali/data/05/05d6677a40.wav,তিনজনের অবস্থা গুরুতর
/content/asr_bengali/data/05/05d6eb3531.wav,ওডেসা নগরীর পতাকা ওড়ায়
/content/asr_bengali/data/05/05d7b6c9ed.wav,সোমবার টুর্নামেন্টের
/content/asr_bengali/data/05/05d7e39f04.wav,একটা মাঠে আসিলাম
/content/asr_bengali/data/05/05db9ae35d.wav,পবিত্র কাবা শরিফের
/content/asr_bengali/data/05/05dca179f3.wav,একটি বিশেষ মহলকে
/content/asr_bengali/data/05/05de0b4c8f.wav,তাঁহাকে এতটা দুঃখ দিলাম
/content/asr_bengali/data/05/05dfca87e5.wav,ফেটানো ডিম দিয়ে
/content/asr_bengali/data/05/05e00aba6e.wav,আজকের পত্রিকা
/content/asr_bengali/data/05/05e04c574e.wav,ঘরের দরজায় দাঁড়িয়ে
/content/asr_bengali/data/05/05e05de65a.wav,তাঁদের সহায়তা করতে
/content/asr_bengali/data/05/05e05ec0f4.wav,ফুচকা
/content/asr_bengali/data/05/05e43e27d1.wav,অতিষ্ঠ হয়ে উঠে জনজীবন
/content/asr_bengali/data/05/05e479ea25.wav,প্রথম ২০১১ সালে
/content/asr_bengali/data/05/05e5e8d27e.wav,মুক্ত করতেই হবে
/content/asr_bengali/data/05/05e5fbd5d7.wav,তারা এ শিল্পকে নিয়ে
/content/asr_bengali/data/05/05e660c245.wav,আনন্দ ভ্রমন করতে
/content/asr_bengali/data/05/05e7c8eacf.wav,টিউব মেহেদি পাওয়া যায়
/content/asr_bengali/data/05/05e9341ed2.wav,সুতি কাবাব খাশির রেজালা
/content/asr_bengali/data/05/05ea3f7f46.wav,এই ফ্রন্টকে
/content/asr_bengali/data/05/05ea6bb66f.wav,আমরা গেয়ে বাজিয়ে
/content/asr_bengali/data/05/05ea7b9f8a.wav,যারা ক্রিকেটেই জীবন গড়তে চান
/content/asr_bengali/data/05/05ead14620.wav,ঢাকায় এসে পৌঁছান
/content/asr_bengali/data/05/05eb2aa4ab.wav,কালো তালিকায় ফেলাইতে চান নাকি
/content/asr_bengali/data/05/05ec597543.wav,গত বছর ৪৭ হাজার কোটি টাকা
/content/asr_bengali/data/05/05ed6e996b.wav,ভাবে বাবা গো
/content/asr_bengali/data/05/05ee0ca264.wav,অসাধারণ গুণ এই ছিল
/content/asr_bengali/data/05/05ef5334c9.wav,ব্রাদার্স ইউনিয়ন
/content/asr_bengali/data/05/05efb3a7c9.wav,দশটি কারখানার ওপর দেওয়া
/content/asr_bengali/data/05/05efc959c4.wav,পূর্বে প্রতি বছর
/content/asr_bengali/data/05/05efce7ba2.wav,সেখানে পৌঁছে
/content/asr_bengali/data/05/05f0a23565.wav,সময়সংকটে দীর্ণ স্বদেশ
/content/asr_bengali/data/05/05f17f3454.wav,সবুজ তরুর পাশে
/content/asr_bengali/data/05/05f3bdb5f6.wav,শেষ তিন মাসের মধ্যে
/content/asr_bengali/data/05/05f4392c5e.wav,পূরণ হয়েছে
/content/asr_bengali/data/05/05f45990a8.wav,ভুল সম্পর্কের দিকে
/content/asr_bengali/data/05/05f6ae838a.wav,একইসঙ্গে ধানমন্ডিতে
/content/asr_bengali/data/05/05f6ff61d9.wav,২০১০ কমনওয়েলথ গেমসের
/content/asr_bengali/data/05/05f9d74468.wav,আলাদা ইতিহাসের বোধ
/content/asr_bengali/data/05/05f9e42c04.wav,ধরা পড়েছিল
/content/asr_bengali/data/05/05fa38ccfc.wav,নিজের ভারেই
/content/asr_bengali/data/05/05fdb2c6cd.wav,বর্গমূল কে বলা হয়
/content/asr_bengali/data/05/05fdf0f793.wav,সরকারের বক্তব্য ছিল
/content/asr_bengali/data/05/05fff12ce1.wav,নাটকের দল তীরন্দাজ
/content/asr_bengali/data/0a/0a0035c57b.wav,বেশি কইরা পিঁপড়া খা
/content/asr_bengali/data/0a/0a00a4fe56.wav,বিষয়টি নিয়ে বৃহস্পতিবার
/content/asr_bengali/data/0a/0a010c7746.wav,থানা থেকে গ্রেপ্তারকৃতদের
/content/asr_bengali/data/0a/0a01806b9c.wav,বিয়ে করেন একটি মেয়েকে
/content/asr_bengali/data/0a/0a0229b7b7.wav,বাংলাদেশে খোলাখুলি কথা বলাটা
/content/asr_bengali/data/0a/0a035616f7.wav,কাজ নিয়ে আরো
/content/asr_bengali/data/0a/0a0422f828.wav,বোমা ফেলতে শুরু করলো।
/content/asr_bengali/data/0a/0a04890036.wav,স্বাধীনতার ইতিহাসের
/content/asr_bengali/data/0a/0a048b8ea0.wav,মানুষের জীবন যাত্রার উপর ছিল
/content/asr_bengali/data/0a/0a04bf9c97.wav,অমিত কুমার
/content/asr_bengali/data/0a/0a04c1007c.wav,সেইরূপ আমরা
/content/asr_bengali/data/0a/0a04d1f677.wav,স্কুল খোলা
/content/asr_bengali/data/0a/0a0525148e.wav,কেন কে জানে
/content/asr_bengali/data/0a/0a0584b940.wav,ভারপ্রাপ্ত মহাসচিব
/content/asr_bengali/data/0a/0a058c67cc.wav,স্যাটেলাইট তথ্যের ভিত্তিতে
/content/asr_bengali/data/0a/0a06e96c6f.wav,এতে করে যে বিষয়গুলো
/content/asr_bengali/data/0a/0a06f686b6.wav,ছোট বড় বিভিন্ন ধরনের রিকশা
/content/asr_bengali/data/0a/0a07094428.wav,তবে প্রার্থী
/content/asr_bengali/data/0a/0a083688ae.wav,আপন আপন ভূমিকা
/content/asr_bengali/data/0a/0a08f18c79.wav,তিনখানা ইন্টার কাসের দরুন
/content/asr_bengali/data/0a/0a0906069f.wav,নানা ধরনের জিনিস ফেলে
/content/asr_bengali/data/0a/0a093d774a.wav,গ্রন্থেও তাহা পাইয়াছি
/content/asr_bengali/data/0a/0a09e9a73a.wav,দুর্ঘটনার সময় লঞ্চটিতে
/content/asr_bengali/data/0a/0a09f59594.wav,রাখা হয়
/content/asr_bengali/data/0a/0a0a304d01.wav,তুলনায় আর্দ্রতা
/content/asr_bengali/data/0a/0a0ae5b8df.wav,পুলিশ দুজনকে আটক করেছে
/content/asr_bengali/data/0a/0a0bee8bae.wav,মুস্তাফিজুর রহমান মানিক
/content/asr_bengali/data/0a/0a0c94aa9e.wav,সারা হন
/content/asr_bengali/data/0a/0a0ce099a3.wav,পর্যাপ্ত নিরাপত্তা
/content/asr_bengali/data/0a/0a0d13b8e1.wav,অসুবিধাতেও পড়তে হয়
/content/asr_bengali/data/0a/0a0d821104.wav,আজ একরকম
/content/asr_bengali/data/0a/0a0daf72e3.wav,আমাদের সামনে
/content/asr_bengali/data/0a/0a0e11a2d3.wav,একবার বাদশাহর
/content/asr_bengali/data/0a/0a0e696d0c.wav,অ্যালান রেমন্ড আইজ্যাক
